text,labels
"
No answer.


I do not feel like the cameras were out of range.  Cameras watched the first 
confrontation.  Cameras watched the banners.  Cmaeras watched the final 
confrontation with tanks.  Cameras watched the fire.  When weren't cameras 
able to watch?  When would cameras be unable to watch people coming out with 
their hands up?


Well, that is what BATF should have done.  Either, Koresh would have gone 
peaceably as he has done in the past, or perhaps it was already too close 
to the apocalypse in his own mind.  It is hard to predict the actions of 
a leader who would not release the children when most rational people would.

Now will you answer my question up top?


",politics
"

Let's see... April 15th... less than 30 at bats.... and you claim that he 
hasn't done too much so far!

Cut this guy some slack. Danny will produce this year. It's scary to think
just how much he'll produce if he were to stay healthy all year.

The Yanks have a lot going for them this year: good starting rotation, good
bullpen, good defense and a good lineup. Also, I like Buck Showalter. Frank
Howard on 1st is also a good move. Everything sounds good so far. 

If the Yanks stay healthy, they have a good chance at winning the pennant. This 
is the most fun I've had watching the Yanks since ""78!",sport
"
	OK ... a near-majority actually OWN firearms, but I will still
	claim that the VAST majority never needs to use them or even
	threaten anyone with them. What do they do right ... or are
	they just lucky ? In either case, this means the 'average
	threat level' in this country is rather low. 
 

	I think you have weapons on the brain. I never said that these
	alternative means of self-protection involved any hardware.
	Why are 'good' neighborhoods 'good' ? It isn't because every
	person is armed to the teeth. It is because of (1) attitude
	and (2) cooperation. In the 'good' neighborhoods, the residents
	make themselves aware of their neighbors and notice when
	strangers are lurking around. 'Good' neighborhoods form groups
	like 'crime-watch' to increase this effect, and the relative
	effectiveness of the police. When hostiles are arrested, the
	good neighbors step up and say ""THAT'S the one officer ! He
	was robbing Mr. Jones' house"". 

	In short, the alternative to firepower is gangs ... or at
	least a benificent manifestation of that social cooperative.
	Replace lead with flesh ... the flesh makes a better
	conversationalist too and you can invite it over for a
	block party. 


	Oliver North. The man is positively worshiped in many
	all-American 'conservative' quarters. He and Big Ron
	set-up a secret government and did all sorts of severely
	illegal deeds - the kind of stuff you and I would be doing
	twenty-to-life for, yet he walks free. This BS happens all
	the time. In fact, it happens so much that no one really
	cares anymore.  'Legitimacy' is a non-issue. Legality is
	a non-issue. So long as we get T-bones and our MTV, who
	gives a rats ass ? 


	No. I claimed that no one is interested in the statistical
	aspects of the argument. Pure emotion, like the abortion issue.


	Argue away ... you can't win. 
",politics
"
I would just go fetch my parents, and show them to you, and thereby
prove quite definitively that my mother is not named Merlyn, she is
not nine feet tall, and my father is quite alive.

Then I would assert quite simply that your deity does not exist, and
wait for a similar demonstration from you.
",religion
"know 
he 
now.

And Michael Jackson, Jack Nicholson, and Bill Cosby wouldn't be 
making near as much money if they weren't entertainers. So what's
your point?

for a 
hurting.

Will they?  You can't usually take away one of the team's best
players and still expect them to win.  Or do you think the 
Pirates will continue to win without Barry Bonds.

athletic 
working

So. Again, Jack Nicholson gets paid much more than most hard
working citizens (and much more than Rickey Henderson for that
matter). 

when the
million--also,

The reason the latter often happens is that many of these folks
start making the real big salaries late in their career, when they
are on the decline. (There are exceptions, of course. Dave Parker
fell apart after making his first million because he put most
of that million up his nose.)
",sport
"A few comments on the ATF's botched handling of this case:

1. Attempting to storm the compound in broad daylight?  The explanation
   we were given (at least at one point) was that they thought the cult
   members would be at religious services.  My only comment on this bit
   of idiocy is that if you're going to operate as a quasi-military unit,
   you'd better understand basic military tactics.  One cardinal rule
   is that only a fool plans an operation where if one assumption is
   incorrect, the operation will fail disastrously.

2. We were told that ATF got four agents killed because they were
   outgunned, they didn't expect such heavy resistance.  When
   questioned about why such an overwhelming military-style assault
   was planned, we were told that it was because the cultists were
   thought to be heavily armed.  Can you say contradictory?  I knew
   you could!

3. The BATF has had a bad reputation for years as a bunch of arrogant,
   hotdoggers.  I was talking to relatives a couple of weeks ago and
   referred to them as a bunch of Crockett and Tubbs wannabes.  I'm
   more than ever convinced that's right on target.  An anecdote not
   related to the Waco fiasco is that apparently the BATF screwed up
   some of the evidence in the World Trade Center bombing.  There's
   now an excellent chance some of the forensic evidence gathered by
   the FBI will not be admissible in court.  This is not hearsay.  I
   was told this by a relative of my wife's who happens to be an FBI
   agent.  His opinion of the BATF was, ummm, well, let's just say
   uncomplimentary.

4. I have *still* not been presented with one iota of evidence that
   the BD's had *any* of the alleged illegal weaponry which was the
   reason for the raid in the first place.  BTW, we're *still* hearing
   this justification.  AG Reno, on CNN yesterday, made references
   to this issue, without any substantiation.  She also waved around
   the ""He's a child abuser and we heard he was beating the children!""
   flag.  Sigh.

5. A point re the Feds in general: their handling of the whole siege
   reflected a complete lack of understanding of the probable thought
   processes of the cultists.  AG Reno said they pushed the button
   because they were afraid a mass suicide was in the offing.  My
   only comment on that is that if the cultists were that close to
   the edge, what the hell did she think their reaction would be to
   an hours-long assault on the compound where holes were punched in
   the walls and CS gas pumped in?  If I were a BD, I'd expect the
   forces of the godless government to assault me at any time.  In
   that light, whether they torched themselves or drank Jim Jones
   Kool-Aid is irrelevant.  Also, look at how the siege was conducted:
   Bright lights, loud rock music, cutting off communications and
   other contact with the outside.  All measures designed to make the
   BD's feel more and more isolated and threatened.  This might have
   been a great strategy - if they were dealing with criminals.  As it
   was, it looks to me like everything they did fed into Koresh's
   paranoid delusions.




-- 

#include <std_disclaimer.h>",politics
"
All they said on the radio that he developed stiffness in the shoulder
after throwing a curveball that didn't loosen.  Because of the cold
night in Denver they decided to remove him from the game rather than
let him pitch.  He is expected to pitch his next turn in the rotation
(expected to be April 20, at Shea vs the Giants).",sport
"This seems to be a simple problem but I just cannot solve it.
I wrote a C program to draw some polygons on the screen, and I want to 
print it on my printer. So, I press ""print-screen"" on the keyboard.
The problem is the printer just print out some ASCII characters.
Is there any other way to print the screen without using ""print-screen""????
Please help!
",graphics
"Last week I posted the ALL-TIME GREATEST PLAYERS (and haphazardly misspelled
several names--SORRY!)  This week, it's time for the greatest PEAK players.
I evaluated the following players on 4 consectutive seasons which constituted
their ""prime"" or ""peak"" years.  (3 was too few; 5 seemed to many--so I settled
for 4).  Sources, as usual, include Total Baseball 1993 and my own (biased)
opinions.
Here goes, feel free to comment.

 1.  Ted Williams (includes season after war)--missed actual peak years
 2.  Babe Ruth
 3.  Walter Johnson
 4.  Mickey Mantle
 5.  Mike Schmidt  (actual peak year shortened by strike)
 6.  Barrry Bonds  (currently at peak)
 7.  Honus Wagner
 8.  Ty Cobb
 9.  Tris Speaker
10.  Willie Mays
11.  Lefty Grove
12.  Sandy Koufax
13.  Joe Morgan
14.  Ed Walsh
15.  Christy Mathewson
16.  Lou Gehrig
17.  Jimmie Foxx
18.  Cal Ripken Jr.
19.  Pete Alexander
20.  Cy Young
21.  Tim Raines
22.  Rickey Henderson  (again, strike year '81 included)
23.  Carl Yastrzemski
24.  Jackie Robinson
25.  Joe DiMaggio
26.  Rogers Hornsby  
27.  George Sisler
28.  Eddie Collins
29.  Hank Aaron
30.  Stan Musial
31.  Joe Jackson
32.  Wade Boggs
33.  Charlie Gehringer
34.  Ernie Banks
35.  Bob Gibson
36.  Carl Hubbell
37.  Robin Yount
38.  Rod Carew
39.  Chuck Klein
40.  Willie McCovey
41.  Frank Robinson
42.  Tom Seaver
43.  Roger Clemens  (arguably, still in peak)
44.  Mel Ott
45.  Frank Baker
46.  Nap Lajoie  (peak came in suspect league)
47.  Dizzy Trout
48.  George Brett
49.  Mordecai Brown
50.  Ryne Sandberg

1B  Peak
 1) Gehrig
 2) Foxx
 3) Sisler
 4) McCovey
 5) Greenberg
 6) Frank Thomas (projected--sorry)
 7) Dick Allen
 8) Johnny Mize
 9) Eddie Murray (yes, Mr.Consistency had a peak)
10) Bill Terry

2B
 1) Morgan
 2) J.Robinson
 3) Collins
 4) Hornsby 
 5) Gehringer
 6) Carew (treated as a 2B, even though played 1B)
 7) Sandberg
 8) Bobby Grich
 9) Nap Lajoie
10) Bill Herman, Mazeroski (tough call)

3B)
 1) Schmidt
 2) Boggs
 3) F.Baker
 4) Brett
 5) Ed Mathews
 6) Ron Santo
 7) Harland Clift
 8) Ken Boyer
 9) Buddy Bell
10) Darrell Evans

SS
 1) Wagner
 2) Ripken
 3) Banks
 4) Yount
 5) John Lloyd (estimated)
 6) Arky Vaughan
 7) Barry Larkin  (still in peak?)
 8) Lou Boudreau
 9) Ozzie Smith
10) Joe Sewell

LF
 1) Williams
 2) Ba.Bonds
 3) Raines
 4) Henderson (actually had 2 peaks; 80-83 & 83-86)
 5) Yastrzemski
 6) Musial
 7) J.Jackson
 8) Ralph Kiner
 9) Al Simmons
10) George Foster
11) Willie Stargell

CF
 1) Mantle
 2) Cobb
 3) Speaker
 4) Mays
 5) DiMaggio
 6) Oscar Charleston (again, estimated)
 7) Duke Snider
 8) Ken Griffey Jr.  (personal assumption)
 9) Kirby Puckett
10) Richie Ashburn
11) Dale Murphy (strike season?)

RF
 1) Ruth
 2) Aaron
 3) Klein
 4) F.Robinson
 5) Ott
 6) Roberto Clemente
 7) Tony Gwynn
 8) Dave Parker
 9) Reggie Jackson
10) Harry Heilmann
11) Jose Canseco
12) Darryl Strawberry

 C
 1) Josh Gibson (estimated)
 2) Mickey Cochrane
 3) Gary Carter
 4) Johnny Bench
 5) Roy Campanella
 6) Yogi Berra
 7) Bill Dickey
 8) Gabby Hartnett
 9) Elston Howard
10) Ted Simmons
11) Joe Torre

 P
 1) W.Johnson
 2) Grove
 3) Koufax
 4) Walsh
 5) Mathewson
 6) Alexander
 7) Young
 8) Gibson
 9) Hubbell
10) Seaver
11) Clemens
12) Satchel Paige (estimated)
13) D.Trout
14) Juan Marichal
15) Mordecai Brown
16) Joe Wood
17) Dave Steib
18) Jim Palmer
19) Bob Lemon
20) Fergie Jenkins

 RP
 1) Who cares?


I hope there are some surprises here: Raines above Muisial?  Carter above
 Bench?  Ripken above Banks?  Bonds above Mays?
Check the numbers of each player in comparison to the numbers of the rest
of the players that year(s), and you'll see that I'm fairly close with
this ranking system (which is primarily based on Total Player Rating) for
four consecutive years.",sport
"
It was more than a theoretical concept; it was seriously pursued by
Freeman Dyson et al many years ago. I don't know how well-known this is,
but a high explosive Orion prototype flew (in the atmosphere) in San
Diego back in 1957 or 1958. I was working at General Atomic at the time,
but I didn't learn about the experiment until almost thirty years later,
when 
Ted Taylor visited us and revealed that it had been done. I feel sure
that someone must have film of that experiment, and I'd really like to
see it. Has anyone out there seen it?",space
